residuals (i.e. ||f(x_n)||),differences (i.e. ||x_n-x_{n-1}||),current point (i.e. x_n)
3.194059079019603,0.0,[0 0 0 0 0 0 0 0 0 0]
0.05424371875048119,3.194059078998678,"[1.01005017 1.01005017 1.01005017 1.01005017 1.01005017 1.01005017
 1.01005017 1.01005017 1.01005017 1.01005017]"
0.006933891352504361,0.05333789770847859,"[0.99318324 0.99318324 0.99318324 0.99318324 0.99318324 0.99318324
 0.99318324 0.99318324 0.99318324 0.99318324]"
0.0002641889394747939,0.007817386112412597,"[0.99071117 0.99071117 0.99071117 0.99071117 0.99071117 0.99071117
 0.99071117 0.99071117 0.99071117 0.99071117]"
