,quasi_newton,normal_newton,easy_newton
0,0.0026760101318359375,0.012522220611572266,0.02
1,0.02,0.006989002227783203,0.02
2,0.0030040740966796875,0.006456613540649414,0.02
3,0.02,0.008009195327758789,0.02
4,0.02,0.007513523101806641,0.02
5,0.02,0.008008241653442383,0.02
6,0.02,0.00702977180480957,0.02
7,0.02,0.008250951766967773,0.02
8,0.02,0.007881641387939453,0.02
9,0.02,0.009008407592773438,0.02
10,0.02,0.007573604583740234,0.02
11,0.02,0.009009122848510742,0.02
12,0.02,0.0060079097747802734,0.02
13,0.02,0.006005287170410156,0.02
14,0.02,0.008008718490600586,0.02
15,0.02,0.008007526397705078,0.02
16,0.02,0.007979154586791992,0.02
17,0.02,0.008007287979125977,0.02
18,0.02,0.008008956909179688,0.02
19,0.02,0.010039329528808594,0.02
20,0.02,0.01300191879272461,0.02
21,0.02,0.007299661636352539,0.02
22,0.02,0.02,0.02
23,0.02,0.02,0.02
24,0.02,0.02,0.02
