parameter,quasi_newton,normal_newton,easy_newton
0.0,1,1,1
0.002,2,2,2
0.004,3,2,2
0.006,3,2,3
0.008,3,3,3
0.01,3,3,3
0.012,3,3,3
0.014,4,3,4
0.016,4,3,4
0.018,4,3,4
0.02,4,3,4
0.022,4,4,4
0.024,4,4,4
0.026,5,4,4
0.028,5,4,4
0.03,5,4,4
0.032,5,4,4
0.034,5,5,4
0.036,6,5,4
0.038,6,4,4
0.04,6,8,5
0.042,6,121,5
0.044,7,5,5
0.046,7,7,5
0.048,7,200,6
0.05,6,8,6
0.052,6,22,6
0.054,6,16,7
0.056,7,12,7
0.058,7,200,8
0.06,7,7,9
0.062,7,200,9
0.064,7,9,10
0.066,7,200,11
0.068,6,200,12
0.07,8,200,13
0.072,10,18,15
0.074,17,200,15
0.076,70,200,15
0.078,18,12,14
0.08,27,14,25
0.082,43,200,36
0.084,58,200,51
0.086,53,12,81
0.088,7,200,200
0.09,10,26,200
0.092,9,10,200
0.094,14,200,200
0.096,74,200,200
0.098,41,13,200
