,quasi_newton,normal_newton,easy_newton
0,41,2000,92
1,93,293,149
2,32,760,184
3,27,861,203
4,40,10,216
5,52,10,227
6,41,8,237
7,51,7,247
8,58,7,256
9,183,6,265
10,2000,6,275
11,137,6,284
12,2000,7,295
13,124,7,307
14,89,7,323
15,97,7,2000
16,2000,7,2000
17,120,7,2000
18,160,7,2000
19,113,7,2000
