,quasi_newton,normal_newton,easy_newton
0,0.2,0.004001140594482422,0.2
1,0.02279806137084961,0.0020411014556884766,0.2
2,0.2,0.006703615188598633,0.2
3,0.2,0.009008169174194336,0.2
4,0.030987262725830078,0.0050046443939208984,0.2
5,0.2,0.0050051212310791016,0.2
6,0.0047338008880615234,0.0038378238677978516,0.2
7,0.2,0.0030028820037841797,0.2
8,0.2,0.0040051937103271484,0.2
9,0.09847640991210938,0.002949237823486328,0.2
10,0.04920816421508789,0.0020024776458740234,0.2
11,0.2,0.0029485225677490234,0.2
12,0.2,0.0020012855529785156,0.2
13,0.2,0.0017511844635009766,0.2
14,0.020997285842895508,0.0020012855529785156,0.2
15,0.017281770706176758,0.2,0.2
16,0.2,0.0014767646789550781,0.2
17,0.0030035972595214844,0.0020024776458740234,0.2
18,0.001001596450805664,0.2,0.0010006427764892578
19,0.0010023117065429688,0.0020003318786621094,0.2
