,quasi_newton,normal_newton,easy_newton
0,7,5,51
1,7,5,46
2,7,5,42
3,6,5,38
4,6,5,34
5,6,5,31
6,6,5,28
7,6,4,25
8,6,4,23
9,6,4,21
10,5,4,18
11,5,4,16
12,5,4,15
13,5,4,13
14,5,3,11
15,4,3,10
16,4,3,8
17,4,3,6
18,3,2,5
19,4,3,5
20,4,3,5
21,4,3,4
22,4,3,3
23,4,3,4
24,4,3,6
25,4,3,7
26,3,3,8
27,4,3,10
28,3,3,10
29,3,3,7
